Employee_ID,Full_Name,Role,Department,Shift,Leave_Balance,Manager,Employment_Type,Email,Location
E016,Technician Gaurav Das,Lab Technician,Pathology,Evening,7,Dr. N. Singh,Part-time,gaurav.das@hospital.com,Delhi
E017,Nurse Lata Yadav,Nurse,Emergency,Night,9,Dr. A. Sharma,Full-time,lata.yadav@hospital.com,Delhi
E018,Dr. Meera Kapoor,Doctor,Neurology,Morning,11,Dr. S. Dutta,Full-time,meera.kapoor@hospital.com,Delhi
E019,Admin Rajesh Iyer,Admin,Operations,Morning,12,Mr. S. Tiwari,Full-time,rajesh.iyer@hospital.com,Chennai
E020,Dr. Kunal Deshmukh,Doctor,Orthopedics,Evening,6,Dr. K. Patel,Full-time,kunal.deshmukh@hospital.com,Pune
E021,Nurse Nidhi Sinha,Nurse,Pediatrics,Night,10,Dr. A. Sharma,Full-time,nidhi.sinha@hospital.com,Mumbai
E022,Technician Akash Bansal,Lab Technician,Imaging,Morning,9,Dr. P. Reddy,Full-time,akash.bansal@hospital.com,Hyderabad
E023,Admin Pooja Rathi,Admin,HR,Morning,13,Ms. T. Kapoor,Full-time,pooja.rathi@hospital.com,Delhi
E024,Dr. Arjun Nair,Doctor,Dermatology,Morning,10,Dr. N. Singh,Full-time,arjun.nair@hospital.com,Delhi
E025,Nurse Komal Agarwal,Nurse,Maternity,Night,5,Dr. P. Reddy,Full-time,komal.agarwal@hospital.com,Pune
E026,Technician Dev Mishra,Lab Technician,Pathology,Morning,8,Dr. N. Singh,Full-time,dev.mishra@hospital.com,Delhi
E027,Dr. Ishita Sen,Doctor,Oncology,Evening,9,Dr. R. Verma,Full-time,ishita.sen@hospital.com,Delhi
E028,Admin Sunil Tiwari,Admin,Finance,Morning,15,Mr. S. Tiwari,Full-time,sunil.tiwari@hospital.com,Mumbai
E029,Nurse Reena Gupta,Nurse,ICU,Night,8,Dr. R. Verma,Full-time,reena.gupta@hospital.com,Pune
E030,Dr. Tarun Bedi,Doctor,Cardiology,Morning,7,Dr. R. Verma,Full-time,tarun.bedi@hospital.com,Mumbai
E031,Technician Neha Joshi,Lab Technician,Imaging,Evening,6,Dr. P. Reddy,Full-time,neha.joshi@hospital.com,Hyderabad
E032,Nurse Priyanka Thakur,Nurse,Emergency,Night,11,Dr. A. Sharma,Full-time,priyanka.thakur@hospital.com,Delhi
E033,Dr. Shreya Anand,Doctor,Neurology,Morning,9,Dr. S. Dutta,Full-time,shreya.anand@hospital.com,Delhi
E034,Admin Varun Desai,Admin,Operations,Morning,13,Mr. S. Tiwari,Full-time,varun.desai@hospital.com,Chennai
E035,Dr. Kartik Vora,Doctor,Orthopedics,Evening,8,Dr. K. Patel,Full-time,kartik.vora@hospital.com,Pune
E036,Nurse Anjali Reddy,Nurse,Pediatrics,Night,7,Dr. A. Sharma,Full-time,anjali.reddy@hospital.com,Mumbai
E037,Technician Mohan Singh,Lab Technician,Pathology,Morning,10,Dr. N. Singh,Full-time,mohan.singh@hospital.com,Delhi
E038,Admin Neeta Bansal,Admin,HR,Morning,14,Ms. T. Kapoor,Full-time,neeta.bansal@hospital.com,Delhi
E039,Dr. Preeti Kaur,Doctor,Dermatology,Morning,9,Dr. N. Singh,Full-time,preeti.kaur@hospital.com,Delhi
E040,Nurse Sheetal Dube,Nurse,Maternity,Night,5,Dr. P. Reddy,Full-time,sheetal.dube@hospital.com,Pune
E041,Technician Yash Patil,Lab Technician,Imaging,Evening,11,Dr. P. Reddy,Full-time,yash.patil@hospital.com,Hyderabad
E042,Dr. Amit Jain,Doctor,Oncology,Evening,7,Dr. R. Verma,Full-time,amit.jain@hospital.com,Delhi
E043,Admin Sneha Pillai,Admin,Finance,Morning,12,Mr. S. Tiwari,Full-time,sneha.pillai@hospital.com,Mumbai
E044,Nurse Divya Sen,Nurse,ICU,Night,10,Dr. R. Verma,Full-time,divya.sen@hospital.com,Pune
E045,Dr. Manish Reddy,Doctor,Cardiology,Morning,9,Dr. R. Verma,Full-time,manish.reddy@hospital.com,Mumbai
E046,Technician Alok Mehra,Lab Technician,Pathology,Morning,6,Dr. N. Singh,Full-time,alok.mehra@hospital.com,Delhi
E047,Nurse Deepa Joshi,Nurse,Emergency,Night,8,Dr. A. Sharma,Full-time,deepa.joshi@hospital.com,Delhi
E048,Admin Kavya Shetty,Admin,Operations,Morning,13,Mr. S. Tiwari,Full-time,kavya.shetty@hospital.com,Chennai
E049,Dr. Sonia Bhat,Doctor,Orthopedics,Evening,10,Dr. K. Patel,Full-time,sonia.bhat@hospital.com,Pune
E050,Nurse Ritu Chawla,Nurse,Pediatrics,Night,10,Dr. A. Sharma,Full-time,ritu.chawla@hospital.com,Delhi
